Ma tap chi     |Ten tap chi                                       |Ten tong bien tap             |Ma NXB         
DTKHCN         |Tap chi Dien tu khoa hoc va cong nghe             |GS.TSKH. Bui Van Ga           |N1             ,
TCKTDB         |Tap chi Kinh te & Du Bao                          |ThS. Nguyen Le Thuy           |N2             ,
KHCNLN         |Tap chi Khoa hoc va Cong nghe Lam nghiep          |Tran Van Chu                  |N3             ,
CKHVTD         |Tap chi Cac khoa hoc ve Trai dat                  |ThS. CVC. Pham Thi Hieu       |N4             ,
TCCSSK         |Tap chi Con So Su Kien                            |Nguyen Thi Thanh Huong        |N5             ,
TCADCA         |Tap chi Cong San                                  |PGS. TS. Doan Minh Huan       |N6             ,
DTYH           |Tap Chi Y Khoa                                    |PGS.TS Nguyen Thi Xuyen       |N7             ,
TCPL           |Tap Chi Phap Luat                                 |Vu Thi Lan Anh                |N9             ,
AU30           |Tap Chi Doi Song                                  |Nguyen Thi Bich Thuan         |N10            ,
